SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
4475,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39831,,SCHOOL IMPROVEMENT
4476,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39832,,SCHOOL NUTRITION
4477,3,ADMINISTRATION OF JUSTICE,398,OPERATION OF SECURE CORRECTIONAL FACILITIES,39833,,PUPIL TRANSPORTATION
4478,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53402,,INSTRUCTIONAL TECHNOLOGY
4479,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53403,,DISTANCE LEARNING AND ELECTRONIC CLASSROOM
4480,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53406,,FIN ASST-LOCAL TREASURERS
4481,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53407,,FIN ASST-OPERATION OF LOCAL TREASURERS
4482,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53409,,FIN ASST-STATE TAX SVCS BY LOCAL TREASURERS
4483,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53410,,NETWORK-DATA SERVICES
4484,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53411,,VOICE SERVICES
4485,4,INDIVIDUAL AND FAMILY SERVICES,402,EMERGENCY MEDICAL SERVICES,40203,,VIDEO SERVICES
4486,4,INDIVIDUAL AND FAMILY SERVICES,402,EMERGENCY MEDICAL SERVICES,40204,,AFTERCARE PHARMACY SERVICES
4487,4,INDIVIDUAL AND FAMILY SERVICES,402,EMERGENCY MEDICAL SERVICES,40205,,INPATIENT PHARMACY SERVICES
4488,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45201,,VOCATIONAL REHABILITATION SERVICES
4489,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45211,,MARINE RESOURCES SURVEYING AND MAPPING
4490,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45212,,HIGHER EDUCATION FEDERAL PROGRAMS COORDINATION
4491,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45213,,CONSULTATION TO LIBRARIES
4492,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45214,,RESEARCH LIBRARY SERVICES
4493,4,INDIVIDUAL AND FAMILY SERVICES,452,FIN ASST FOR SELF-SUFFICIENCY PGMS & SVCS,45215,,STANDARDS OF QUALITY FOR PUBLIC EDUCATION (SOQ)
4494,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46105,,FINANCIAL INCENTIVE PROGRAMS FOR PUBLIC EDUCATION
4495,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46401,,FINANCIAL ASSISTANCE FOR CATEGORICAL PROGRAMS
4496,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46403,,FINANCIAL ASSISTANCE FOR SCHOOL FACILITIES
4497,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43018,,INFORMATION TECHNOLOGY SYSTEMS AND PLANNING
4498,4,INDIVIDUAL AND FAMILY SERVICES,460,FINANCIAL ASST FOR LOCAL SOCIAL SERVICES STAFF,46003,,CRIMINAL JUSTICE INFORMATION SERVICES
4499,4,INDIVIDUAL AND FAMILY SERVICES,460,FINANCIAL ASST FOR LOCAL SOCIAL SERVICES STAFF,46006,,TELECOMMUNICATION AND STARS
4500,4,INDIVIDUAL AND FAMILY SERVICES,466,MEDICAL ASSISTANCE FOR LOW INCOME CHILDREN,46601,,FIREARMS PURCHASE PROGRAM
4501,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45405,,OFFENDER CLASSIFICATION & TIME COMPUTATION SVCS
4502,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45406,,CAFETERIA
4503,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45407,,PUBLIC ASSISTANCE CHILD SUPPORT PAYMENTS
4504,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45408,,PLANT PEST & DISEASE PREVENTION & CONTROL SVCS
4505,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45410,,CONSUMER AFFAIRS- REGULATION & CONSUMER EDUCATION
4506,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55206,,CONSUMER ASSISTANCE
4507,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55207,,DISTRIBUTION OF UNINSURED MOTORIST FEE
4508,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55210,,DISTRIBUTION OF ROLLING STOCK TAXES
4509,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55212,,TELECOMMUNICATIONS RELAY FEE
4510,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55215,,AID TO LOCALITIES
4511,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55216,,PAYMENT IN LIEU OF TAXES
4512,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55901,,FIN ASSIST-GENERAL REGISTRAR COMPENSATION
4513,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30207,,FINANCIAL AND OPERATIONAL AUDITS
4514,3,ADMINISTRATION OF JUSTICE,302,INFORMATION TECHNOLOGY SYS  TELECOM & RECORDS MGT,30208,,ADMIN SUPPORT-FAMILY ACCESS MED INS SECURITY PLAN
4515,3,ADMINISTRATION OF JUSTICE,323,LAW LIBRARY SERVICES,32301,,PROGRAM DEVELOPMENT AND COORDINATION
4516,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY RESIDENTIAL & NONRESIDENTIAL SERVICES,35008,,REFORESTATION INCENTIVES-PRIVATE FOREST LAND OWNER
4517,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36101,,FOREST CONSERVATION  WILDFIRE & WATERSHED SERVICES
4518,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36102,,TREE RESTORATION&IMPROV/NURSERIES/STATE-OWNED LAND
4519,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36103,,DRINKING WATER REGULATION
4520,7,GENERAL GOVERNMENT,760,LINE OF DUTY,76001,,DRINKING WATER CONSTRUCTION FINANCING
4521,7,GENERAL GOVERNMENT,760,LINE OF DUTY,76002,,PUBLIC HEALTH TOXICOLOGY
4522,7,GENERAL GOVERNMENT,771,FIN ASST FOR LOCAL COMMISSIONERS OF REVENUE,77101,,ENVIRONMENTAL MONITORING PROGRAM MANAGEMENT
4523,7,GENERAL GOVERNMENT,771,FIN ASST FOR LOCAL COMMISSIONERS OF REVENUE,77102,,COMMUNITY DEVELOPMENT/REVITALIZATION
4524,7,GENERAL GOVERNMENT,771,FIN ASST FOR LOCAL COMMISSIONERS OF REVENUE,77103,,OFFENDER CLASSIFICATION & TIME COMPUTATION SVCS
4525,7,GENERAL GOVERNMENT,780,FINANCIAL ASSISTANCE FOR ELECTORAL SERVICES,78002,,JUVENILE SUPERVISION AND MANAGEMENT SERVICES
4526,1,EDUCATION,179,FEDERAL EDUCATION ASSISTANCE PROGRAMS,17901,,JUVENILE REHABILITATION AND TREATMENT SERVICES
4527,1,EDUCATION,182,SPECIAL EDUCATION AND STUDENT SERVICES,18201,,MINIMUM SECURITY SERVICES
4528,1,EDUCATION,182,SPECIAL EDUCATION AND STUDENT SERVICES,18202,,ECONOMIC INFORMATION SERVICES
4529,1,EDUCATION,182,SPECIAL EDUCATION AND STUDENT SERVICES,18203,,WORKFORCE SERVICES JOB INVESTMENT PROGRAM
4530,1,EDUCATION,182,SPECIAL EDUCATION AND STUDENT SERVICES,18204,,MBE PROCUREMENT REPORTING & COORDINATION
4531,1,EDUCATION,191,STATE EDUCATION SERVICES,19101,,MINOR BUSINESS ENTERPRISE OUTREACH
4532,1,EDUCATION,191,STATE EDUCATION SERVICES,19102,,APPRENTICESHIP PROGRAM
4533,1,EDUCATION,197,INSTRUCTION,19701,,FIN ASST FOR ECONOMIC DEVELOPMENT
4534,1,EDUCATION,197,INSTRUCTION,19706,,FIN ASST TO THE HORSE BREEDING INDUSTRY
4535,1,EDUCATION,197,INSTRUCTION,19708,,FIN ASSIST -NON PROFIT EMERGENCY MED SVC ORG/LOC
4536,1,EDUCATION,197,INSTRUCTION,19710,,STATE OFFICE OF EMERGENCY MEDICAL SERVICES
4537,1,EDUCATION,197,INSTRUCTION,19711,,REGIONAL EMERGENCY MEDICAL SERVICES COUNCILS
4538,1,EDUCATION,197,INSTRUCTION,19712,,INCOME BENEFITS
4539,1,EDUCATION,197,INSTRUCTION,19713,,CHILD SUPPORT SUPPLEMENT
4540,1,EDUCATION,197,INSTRUCTION,19714,,TANF EMPLOYMENT SERVICES
4541,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53413,,NON-TANF EMPLOYMENT SERVICES
4542,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53414,,TANF DAY CARE
4543,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53415,,NON-TANF DAY CARE
4544,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53416,,REG ASSISTED LIVING REIMB-RESIDENTS OF ADULT HOMES
4545,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53417,,REIMB LOCALITIES-STATE & LOCAL HOSPITALIZATION PGM
4546,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53418,,INSURANCE PREMIUM PAYMENTS FOR HIV POSITIVE IND
4547,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53419,,ADMINISTRATIVE SERVICES
4548,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53420,,ELIGIBILITY DETERMINATION FOR BENEFIT PROGRAMS
4549,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53421,,SOCIAL WORKER SERVICES
4550,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53422,,REIMBURSEMENTS FOR MED SVC TO LOW-INCOME CHILDREN
4551,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53423,,MEDICAL REHABILITATIVE SERVICES
4552,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53424,,COMMUNITY REHABILITATION PROGRAMS
4553,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46405,,INDEPENDENT LIVING SERVICES
4554,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55902,,SOCIAL & PERSONAL ADJUSTMENT TO BLINDNESS TRAINING
4555,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55903,,VENDING STANDS  CAFETERIAS & SNACK BARS
4556,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55904,,LABOR LAW SERVICES
4557,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55905,,REGULATION OF GRAIN COMMODITY SALES
4558,5,RESOURCE AND ECONOMIC DEVELOPMENT,559,REGULATION OF CHARITABLE GAMING,55906,,REGULATION OF INVESTMENT COMPANIES/PRODUCTS/SVCS
4559,5,RESOURCE AND ECONOMIC DEVELOPMENT,565,ENVIRONMENTAL HEALTH HAZARDS CONTROL,56501,,REGULATION OF WEIGHTS/MEASURES & MOTOR FUELS
4560,5,RESOURCE AND ECONOMIC DEVELOPMENT,565,ENVIRONMENTAL HEALTH HAZARDS CONTROL,56502,,REGULATION OF FINANCIAL INSTITUTIONS
4561,5,RESOURCE AND ECONOMIC DEVELOPMENT,565,ENVIRONMENTAL HEALTH HAZARDS CONTROL,56503,,REGULATION OF INSURANCE INDUSTRY
4562,5,RESOURCE AND ECONOMIC DEVELOPMENT,565,ENVIRONMENTAL HEALTH HAZARDS CONTROL,56504,,GAMING ORGANIZATION LICENSING
4563,6,TRANSPORTATION,601,GROUND TRANSPORTATION REGULATION,60101,,SEX OFFENDER REGISTRY PROGRAM
4564,6,TRANSPORTATION,601,GROUND TRANSPORTATION REGULATION,60103,,CONCEALED WEAPONS PROGRAM
4565,6,TRANSPORTATION,601,GROUND TRANSPORTATION REGULATION,60105,,LAW LIBRARY SERVICES
4566,6,TRANSPORTATION,604,HIGHWAY SYSTEMS MAINTENANCE AND OPERATIONS,60404,,RESIDENTIAL/NON-RESIDENTIAL CUSTODY/TREATMENT SVCS
4567,7,GENERAL GOVERNMENT,775,EMERGENCY PREPAREDNESS,77501,,COMMUNITY FACILITY MANAGEMENT
4568,7,GENERAL GOVERNMENT,775,EMERGENCY PREPAREDNESS,77502,,SUPERVISION AND MANAGEMENT OF PROBATES
4569,7,GENERAL GOVERNMENT,775,EMERGENCY PREPAREDNESS,77504,,REHABILITATION/TREATMENT SVCS-COMM RESIDENTIAL FAC
4570,7,GENERAL GOVERNMENT,775,EMERGENCY PREPAREDNESS,77505,,DEATH BENEFIT PAYMENTS UNDER THE LINE OF DUTY ACT
4571,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79902,,HEALTH INSURANCE PAYMENT-UNDER LINE OF DUTY ACT
4572,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79925,,FIN ASST-LOCAL COMMISS OF REVENUE TAX VALUE CERT
4573,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79930,,FIN ASST-OPERATIONS OF LOCAL COMMISS OF REVENUE
4574,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79940,,FIN ASST - STATE TAX SVCS BY COMMISS OF REVENUE
4575,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79941,,FIN ASSIST-LOCAL ELECTORAL BOARD COMPENSATION/EXP
4576,8,ENTERPRISES,812,DISBURSEMENT OF LOTTERY PRIZE PAYMENTS,81201,,FEDERAL ASSISTANCE TO LOCAL EDUCATION PROGRAMS
4577,8,ENTERPRISES,821,PRINTING AND REPRODUCTION,82101,,SPECIAL EDUCATION INSTRUCTIONAL SERVICES
4578,5,RESOURCE AND ECONOMIC DEVELOPMENT,536,TOURIST PROMOTION,53606,,SPECIAL EDUCATION ADMIN & ASSIST SERVICES
4579,5,RESOURCE AND ECONOMIC DEVELOPMENT,541,AGRICULTURE AND FOOD HOMELAND SECURITY,54101,,SPECIAL EDUCATION COMPLIANCE & MONITORING SERVICES
4580,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30403,,STUDENT ASSISTANCE AND GUIDANCE SERVICES
4581,3,ADMINISTRATION OF JUSTICE,309,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES,30901,,BRAILLE AND LARGE-PRINT TEXTBOOK SERVICES
4582,3,ADMINISTRATION OF JUSTICE,309,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES,30902,,EDUCATIONAL SERVICES
4583,3,ADMINISTRATION OF JUSTICE,309,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES,30904,,CLASSROOM INSTRUCTION
4584,3,ADMINISTRATION OF JUSTICE,309,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES,30905,,ADULT COMMUNITY INSTRUCTIONAL SERVICES
4585,3,ADMINISTRATION OF JUSTICE,309,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES,30906,,FACILITY-BASED EDUCATION AND SKILLS TRAINING
4586,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31001,,OUTREACH AND COMMUNITY ASSISTANCE
4587,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31002,,YOUTH INSTRUCTIONAL SERVICES
4588,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31003,,CAREER/TECH INSTRUCTIONAL SVCS-YOUTH/ADULT SCHOOLS
4589,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31004,,ADULT INSTRUCTIONAL SERVICES
4590,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31005,,INSTRUCTIONAL LEADERSHIP AND SUPPORT SERVICES
4591,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31006,,NATIONAL/INTERNATIONAL TRADE SERVICES
4592,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53425,,MINOR BUSINESS ENTERPRISE CERTIFICATION
4593,5,RESOURCE AND ECONOMIC DEVELOPMENT,534,ECONOMIC DEVELOPMENT SERVICES,53426,,TECHNOLOGY ENTREPRENEURIAL DEVELOPMENT SERVICES
4594,5,RESOURCE AND ECONOMIC DEVELOPMENT,562,REGULATION OF STRUCTURE SAFETY,56201,,COMMONWEALTH TECHNOLOGY POLICY SERVICES
4595,5,RESOURCE AND ECONOMIC DEVELOPMENT,562,REGULATION OF STRUCTURE SAFETY,56202,,CAPITAL ACCESS FD FOR DISADVANTAGED BUSINESSES
4596,5,RESOURCE AND ECONOMIC DEVELOPMENT,562,REGULATION OF STRUCTURE SAFETY,56203,,BUSINESS FORMATION SERVICES
4597,6,TRANSPORTATION,606,COMMONWEALTH TOLL FACILITIES,60604,,TECH INDUSTRY DEVELOPMENT SERVICES
4598,6,TRANSPORTATION,612,NON-TOLL SUPPORTED TRANSPORTATION DEBT SERVICE,61201,,TECH INDUSTRY RESEARCH/DEVELOPMENT SERVICES
4599,6,TRANSPORTATION,612,NON-TOLL SUPPORTED TRANSPORTATION DEBT SERVICE,61202,,REGIONAL RESEARCH/TECH/EDUCATION/COMMERCIALIZE SVC
4600,6,TRANSPORTATION,612,NON-TOLL SUPPORTED TRANSPORTATION DEBT SERVICE,61203,,ADMINISTRATIVE SERVICES
4601,6,TRANSPORTATION,604,HIGHWAY SYSTEMS MAINTENANCE AND OPERATIONS,60405,,FIN SVCS FOR ECONOMIC DEVELOPMENT
4602,5,RESOURCE AND ECONOMIC DEVELOPMENT,557,REGULATION OF PRODUCTS,55706,,EXISTING BUSINESS SERVICES
4603,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60302,,REIMBURSE FROM UNINSURED MEDICAL CATASTROPHE FUND
4604,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60315,,CHARITABLE GAMING MANAGEMENT TRAINING
4605,6,TRANSPORTATION,626,PORT FACILITIES PLANNING  MAINT  ACQU & CONSTRUCT,62601,,GAMING ORGANIZATION AUDITS
4606,6,TRANSPORTATION,626,PORT FACILITIES PLANNING  MAINT  ACQU & CONSTRUCT,62606,,GAMING ORGANIZATION ENFORCEMENT
4607,6,TRANSPORTATION,626,PORT FACILITIES PLANNING  MAINT  ACQU & CONSTRUCT,62607,,GAMING ORGANIZATION INSPECTION
4608,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36104,,ADMINISTRATIVE SERVICES
4609,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36105,,STATE OFFICE OF ENVIRONMENTAL HEALTH SVC
4610,3,ADMINISTRATION OF JUSTICE,361,STATE RESIDENTIAL COMMUNITY CORRECTIONAL FACILITY,36106,,SHELLFISH SANITATION
4611,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44501,,BEDDING & UPHOLSTERY INSPECTION
4612,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44506,,RADIOLOGICAL HEALTH & SAFETY REGULATION
4613,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44507,,VEHICLE REGULATION SERVICES
4614,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31007,,DRIVER REGULATION SERVICES
4615,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31008,,MOTOR CARRIER REGULATION SERVICES
4616,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31009,,TRANSPORTATION OPERATIONS SERVICES
4617,3,ADMINISTRATION OF JUSTICE,310,LAW ENFORCEMENT AND HIGHWAY SAFETY SERVICES,31010,,FIN ASSIST-EMERGENCY MGMT & RESPONSE
4618,3,ADMINISTRATION OF JUSTICE,326,ADJUDICATION TRAINING/EDUCATION/STANDARDS,32606,,EMERGENCY PLANNING/TRAINING/EXERCISES
4619,3,ADMINISTRATION OF JUSTICE,326,ADJUDICATION TRAINING/EDUCATION/STANDARDS,32607,,EMERGENCY PREPAREDNESS & RESPONSE
4620,3,ADMINISTRATION OF JUSTICE,352,PROBATION AND PAROLE DETERMINATION,35201,,FIN ASST FOR CITIZEN SECURITY SERVICES
4621,7,GENERAL GOVERNMENT,772,FIN ASST FOR ATTORNEYS FOR THE COMMONWEALTH,77201,,INFORMATION TECHNOLOGY SERVICES
4622,7,GENERAL GOVERNMENT,772,FIN ASST FOR ATTORNEYS FOR THE COMMONWEALTH,77202,,TRAINING AND SERVICES
4623,8,ENTERPRISES,823,TRANSPORTATION POOL SERVICES,82302,,TELECOMMUNICATIONS
4624,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44002,,LIABILITY INSURANCE
4625,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44004,,COUNCIL ON INDIANS SUPPORT SERVICES
4626,4,INDIVIDUAL AND FAMILY SERVICES,446,CHILDREN'S HEALTH INSURANCE PROGRAM DELIVERY,44602,,PAYMENT OF LOTTERY PRIZES
4627,4,INDIVIDUAL AND FAMILY SERVICES,455,INDIVIDUAL CARE SERVICES,45506,,STATEWIDE GRAPHIC DESIGN SERVICES
4628,4,INDIVIDUAL AND FAMILY SERVICES,456,MEDICAID PROGRAM SERVICES,45607,,FIN ASST FOR TOURIST PROMOTION
4629,4,INDIVIDUAL AND FAMILY SERVICES,456,MEDICAID PROGRAM SERVICES,45608,,AG/FOOD EMERGENCIES PREVENTION & RESPONSE
4630,4,INDIVIDUAL AND FAMILY SERVICES,456,MEDICAID PROGRAM SERVICES,45609,,ENFORCEMENT AND REGULATION OF ABC LAWS
4631,4,INDIVIDUAL AND FAMILY SERVICES,456,MEDICAID PROGRAM SERVICES,45610,,BIOLOGICAL ANALYSIS SERVICES
4632,4,INDIVIDUAL AND FAMILY SERVICES,456,MEDICAID PROGRAM SERVICES,45614,,CHEMICAL ANALYSIS SERVICES
4633,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45804,,PHYSICAL EVIDENCE SERVICES
4634,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44005,,TRAINING AND STANDARDS SERVICES
4635,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44009,,ADMINISTRATIVE SERVICES
4636,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44010,,AVIATION OPERATIONS
4637,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44013,,COMMERCIAL VEHICLE ENFORCEMENT
4638,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44014,,COUNTER-TERRORISM
4639,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44015,,HELP ELIMINATE AUTO THEFT (HEAT)
4640,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44016,,DRUG ENFORCEMENT
4641,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44017,,CRIME INVESTIGATION AND INTELLIGENCE SERVICES
4642,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44018,,PORT TRAFFIC RATE MANAGEMENT
4643,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45002,,COMMERCE ADVERTISING
4644,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45004,,BOILER/ PRESSURE VESSEL SAFETY SVC
4645,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45005,,STATE BUILDING CODE ADMINISTRATION
4646,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45006,,STATE FIRE PREVENTION CODE ADMINISTRATION
4647,4,INDIVIDUAL AND FAMILY SERVICES,451,PROGRAM MANAGEMENT SERVICES,45101,,TOLL FACILITIES REVOLVING FUND
4648,4,INDIVIDUAL AND FAMILY SERVICES,451,PROGRAM MANAGEMENT SERVICES,45102,,HWY TRANSPORTATION IMPROVEMENT DIST DEBT SERVICE
4649,4,INDIVIDUAL AND FAMILY SERVICES,451,PROGRAM MANAGEMENT SERVICES,45103,,DESIGNATED HIGHWAY CORRIDOR DEBT SERVICE
4650,4,INDIVIDUAL AND FAMILY SERVICES,451,PROGRAM MANAGEMENT SERVICES,45105,,FED HIGHWAY REVENUE ANTICIPATION NOTES DEBT SVC
4651,4,INDIVIDUAL AND FAMILY SERVICES,451,PROGRAM MANAGEMENT SERVICES,45106,,HIGHWAY MAINTENANCE PROGRAM MANAGEMENT/DIRECTION
